version,resolution,dilatation_mean,dilatation_max,erosion_mean,erosion_max,opening_mean,opening_max,closing_mean,closing_max
naive,1280x720,"41,41","48,78","43,74","52,74","39,13","52,32","36,78","51,16"
optimized,1280x720,"43,63","51,06","45,73","56,78","41,85","54,65","41,09","54,35"
naive,1920x1080,"45,19","53,61","36,79","53,83","32,25","37,91","35,5","52,35"
optimized,1920x1080,"44,36","54,98","37,47","53,34","34,22","47,29","37,5","54,63"
naive,2560x1440,"44,62","57,62","37,41","55,62","33,43","36,4","33,2","36,33"
optimized,2560x1440,"47,65","59,11","38,56","57,62","34,16","38,5","34,1","38,12"
naive,3840x2160,"43,31","60,44","34,86","37,53","34,66","40,47","33,83","35,92"
optimized,3840x2160,"45,71","64,32","36,31","39,76","36,13","43,65","36,59","38,77"
naive,7680x4320,"36,62","35,44","34,94","36,92","35,24","37,09","35,09","37,08"
optimized,7680x4320,"39,41","41,46","37,51","39,92","37,66","39,88","35,76","38,47"
